Customer_ID,Renewal_or_Non-renewal_Date,Zip_Code_Distance_From_Stadium,Tenure_As_Season_Ticket_Member
262688,9/4/2013,37.55623245,1
262688,8/4/2014,37.55623245,2
262719,7/16/2013,15.34099297,1
262719,8/4/2014,15.34099297,2
262782,7/16/2013,21.56989477,8
262782,8/3/2014,21.56989477,9
263277,7/16/2013,25.82196499,4
263277,8/4/2014,25.82196499,5
263410,7/16/2013,16.23935352,2
263410,8/3/2014,16.23935352,3
263519,7/16/2013,20.49591016,8
263519,8/3/2014,20.49591016,9
263576,8/27/2013,34.07030886,8
263576,8/3/2014,34.07030886,9
264587,7/16/2013,20.49591016,8
264587,8/4/2014,20.49591016,9
264680,7/16/2013,375.0523102,2
264680,8/4/2014,375.0523102,3
265027,3/26/2014,15.76282663,1
265391,7/16/2013,45.95205181,1
265391,8/4/2014,45.95205181,2
265664,10/1/2013,15.00254292,2
265664,8/3/2014,15.00254292,3
266042,7/16/2013,18.10579689,1
266042,3/26/2014,18.10579689,2
266084,8/3/2014,78.71755918,1
266428,7/6/2013,39.60647237,1
266428,3/26/2014,39.60647237,2
266552,8/4/2014,24.21081399,1
266628,3/26/2014,19.98934451,1
266744,7/16/2013,13.46804269,8
266744,8/4/2014,13.46804269,9
267009,7/16/2013,NA,8
267009,11/3/2014,NA,9
267040,7/16/2013,12.7413899,1
267040,8/3/2014,12.7413899,2
267229,7/16/2013,25.26416632,4
267229,8/4/2014,25.26416632,5
267970,8/15/2013,38.7518719,2
267970,10/14/2014,38.7518719,3
268620,8/3/2014,61.97419275,1
268722,11/12/2014,26.95439108,1
268733,8/4/2014,3.395981776,1
268948,7/16/2013,40.14704652,2
268948,8/4/2014,40.14704652,3
269411,7/25/2013,55.21030129,2
269501,7/16/2013,9.556924115,8
269501,8/3/2014,9.556924115,9
269553,7/16/2013,84.71676472,8
269553,8/3/2014,84.71676472,9
269740,7/16/2013,80.65996866,1
269740,8/4/2014,80.65996866,2
269866,10/1/2013,36.32519181,1
269866,8/4/2014,36.32519181,2
270020,7/16/2013,40.30498438,2
270020,10/14/2014,40.30498438,3
270054,8/4/2014,13.26172683,6
270702,11/17/2013,26.36386491,6
270702,11/6/2014,26.36386491,7
270799,7/16/2013,26.02374625,8
270799,8/3/2014,26.02374625,9
271776,7/16/2013,36.65261274,8
271776,8/3/2014,36.65261274,9
272020,7/16/2013,16.31722129,8
272020,8/3/2014,16.31722129,9
272805,9/16/2013,9.04590558,8
272805,8/4/2014,9.04590558,9
273298,7/25/2013,33.78481808,4
273298,3/26/2014,33.78481808,5
274224,7/16/2013,352.8650212,1
274224,8/4/2014,352.8650212,2
274496,3/26/2014,18.40830478,1
275076,7/16/2013,12.38848901,1
275076,12/21/2014,12.38848901,2
275584,3/26/2014,9.302954244,1
276163,7/16/2013,15.02181066,8
276163,3/26/2014,15.02181066,9
276374,7/16/2013,35.59152571,6
276374,8/4/2014,35.59152571,7
276452,11/9/2013,15.02181066,1
276452,12/1/2014,15.02181066,2
276534,7/25/2013,9.074084291,2
276598,7/16/2013,14.83371684,2
276598,9/29/2014,14.83371684,3
277299,7/16/2013,55.01051459,4
277299,8/3/2014,55.01051459,5
277544,3/26/2014,19.92903648,1
277548,3/5/2013,11.44321555,1
277548,3/26/2014,11.44321555,2
277615,7/16/2013,27.53737402,8
277615,8/3/2014,27.53737402,9
277626,10/30/2013,5.796056068,8
277626,8/4/2014,5.796056068,9
278007,7/16/2013,25.98674731,1
278007,8/3/2014,25.98674731,2
278295,7/25/2013,55.21030129,1
278295,3/26/2014,55.21030129,2
278308,7/16/2013,50.61361301,8
278308,8/3/2014,50.61361301,9
278410,7/16/2013,0.00017697,4
278410,3/26/2014,0.00017697,5
278498,8/3/2014,12.38848901,1
278969,3/31/2013,17.89437434,8
278973,7/16/2013,23.31775438,8
278973,8/3/2014,23.31775438,9
279084,7/16/2013,15.34099297,8
279084,8/3/2014,15.34099297,9
279311,7/16/2013,23.2389425,1
279311,2/12/2014,23.2389425,2
279357,8/3/2014,19.42598057,9
279390,10/1/2013,15.64947626,8
279390,8/3/2014,15.64947626,9
279583,8/3/2014,16.31722129,3
279771,10/1/2013,88.98008025,2
279817,7/16/2013,11.44321555,2
279817,12/7/2014,11.44321555,3
280409,8/3/2014,27.15250915,1
280613,2/24/2013,34.14664351,1
280613,11/17/2014,34.14664351,2
280959,3/26/2014,15.99369386,1
281072,7/16/2013,14.83371684,7
281072,8/3/2014,14.83371684,8
281290,3/26/2014,17.10352178,1
281377,10/1/2013,33.28916579,8
281377,8/4/2014,33.28916579,9
281660,7/16/2013,33.71821168,1
281660,8/3/2014,33.71821168,2
281844,8/12/2014,17.38066512,1
281887,8/29/2013,30.52360175,2
281887,8/4/2014,30.52360175,3
282520,10/1/2013,20.16113514,8
282520,8/3/2014,20.16113514,9
282670,8/4/2014,19.89427802,1
283222,3/26/2014,9.302954244,1
283838,8/3/2014,33.28916579,1
283880,7/16/2013,15.64707712,8
283880,8/3/2014,15.64707712,9
283964,8/4/2014,17.91760651,1
284019,7/16/2013,15.76282663,8
284019,8/3/2014,15.76282663,9
284076,8/3/2014,8.605469492,5
284149,7/16/2013,8.605469492,2
284149,8/3/2014,8.605469492,3
284350,8/14/2014,77.47757348,1
284667,11/12/2013,20.70241261,8
284667,8/3/2014,20.70241261,9
284860,10/1/2013,49.56420138,2
284980,7/16/2013,21.58337694,5
284980,9/10/2014,21.58337694,6
285088,3/26/2014,9.556924115,1
285248,8/4/2014,20.0917229,1
285371,10/1/2013,33.02230227,1
285804,7/16/2013,12.38848901,8
285804,8/4/2014,12.38848901,9
285840,8/24/2014,66.25525675,1
286051,7/25/2013,15.22473615,1
286110,7/16/2013,NA,8
286110,8/3/2014,NA,9
286349,7/16/2013,22.70926476,8
286349,8/3/2014,22.70926476,9
286575,7/16/2013,15.00254292,1
286575,8/4/2014,15.00254292,2
286606,7/25/2013,9.074084291,1
286606,3/26/2014,9.074084291,2
286799,10/1/2013,0.00017697,8
