Customer_ID,Previous_Season,Renewal_Season,Renewal,Renewal_or_Non-renewal_Date,Average_Price_Paid_Per_Seat_Previous_Season,Total_Seats_Previous_Season,Team_Win_Pct_Previous_Season,Games_Attended_Previous_Season,Games_Missed_Previous_Season,Total_Games_Previous_Season,Non-Game_Events_Attended_Previous_Season,Phone_Calls_Made_to_Customer_Last_90_Days_Before_Renewal_Date,Live_Phone_Conversations_With_Customer_Last_90_Days_Before_Renewal_Date,Emails_Sent_Last_90_Days_Before_Renewal_Date,Section_Previous_Season
262688,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,4-Sep-13,277.44,2,0.54,17,0,17,0,0,0,0,Reserved_Seats
262719,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,308.16,2,0.54,14,3,17,4,14,7,1,Reserved_Seats
262782,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,449.28,1,0.54,10,7,17,0,19,2,12,Reserved_Seats
263277,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,290.88,2,0.54,17,0,17,1,16,4,8,Reserved_Seats
263410,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,449.28,4,0.54,15,2,17,4,18,5,6,Reserved_Seats
263519,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,473.28,2,0.54,17,0,17,0,23,3,13,Reserved_Seats
263576,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,27-Aug-13,449.28,5,0.54,10,7,17,0,23,6,11,Reserved_Seats
264587,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,276.48,2,0.54,15,2,17,0,19,1,10,Reserved_Seats
264680,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,290.88,1,0.54,15,2,17,0,6,2,4,Reserved_Seats
265391,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,277.44,2,0.54,13,4,17,0,31,6,15,Reserved_Seats
265664,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,1-Oct-13,380.16,6,0.54,14,3,17,0,35,16,4,Reserved_Seats
266042,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,362.88,2,0.54,1,16,17,0,8,3,4,Reserved_Seats
266428,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,6-Jul-13,94.656,2,0.54,9,8,17,0,11,1,7,Reserved_Seats
266744,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,1071.36,3,0.54,12,5,17,0,16,3,10,Platinum_Club
267009,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,432,3,0.54,16,1,17,0,25,3,15,Reserved_Seats
267040,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,475.2,4,0.54,15,2,17,0,0,0,0,Reserved_Seats
267229,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,261.12,2,0.54,9,8,17,0,19,4,11,Reserved_Seats
267970,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,15-Aug-13,382.08,2,0.54,12,5,17,4,53,15,2,Reserved_Seats
268948,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,290.88,2,0.54,5,12,17,4,14,3,4,Reserved_Seats
269411,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,25-Jul-13,94.656,1,0.54,8,9,17,0,12,1,8,Reserved_Seats
269501,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,473.28,2,0.54,16,1,17,3,25,4,13,Reserved_Seats
269553,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,473.28,2,0.54,17,0,17,0,28,1,0,Reserved_Seats
269740,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,328.32,2,0.54,4,13,17,0,29,6,11,Reserved_Seats
269866,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,1-Oct-13,293.76,2,0.54,15,2,17,0,17,2,6,Reserved_Seats
270020,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,290.88,2,0.54,17,0,17,0,20,4,6,Reserved_Seats
270702,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,17-Nov-13,473.28,2,0.54,17,0,17,0,25,7,10,Reserved_Seats
270799,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,449.28,2,0.54,7,10,17,0,16,2,11,Reserved_Seats
271776,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,382.08,2,0.54,14,3,17,0,19,1,9,Reserved_Seats
272020,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,473.28,1,0.54,8,9,17,0,16,1,0,Reserved_Seats
272805,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Sep-13,276.48,2,0.54,17,0,17,0,19,3,8,Reserved_Seats
273298,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,25-Jul-13,271.968,4,0.54,4,13,17,0,17,1,7,Reserved_Seats
274224,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,308.16,1,0.54,13,4,17,0,0,0,0,Reserved_Seats
275076,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,241.92,1,0.54,4,13,17,0,19,3,13,General_Admission
276163,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,449.28,4,0.54,16,1,17,2,30,2,16,Reserved_Seats
276374,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,240.9408,2,0.54,14,3,17,1,24,3,11,General_Admission
276452,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,9-Nov-13,448.8,4,0.54,8,9,17,0,48,8,6,Reserved_Seats
276534,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,25-Jul-13,94.656,1,0.54,4,13,17,0,13,1,8,Reserved_Seats
276598,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,228.3552,2,0.54,8,9,17,0,0,0,0,General_Admission
277299,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,382.08,2,0.54,14,3,17,2,5,1,3,Reserved_Seats
277548,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,5-Mar-13,94.656,1,0.54,13,4,17,0,8,1,3,Reserved_Seats
277615,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,475.2,4,0.54,13,4,17,0,13,2,5,Reserved_Seats
277626,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,30-Oct-13,226.5408,1,0.54,15,2,17,0,21,3,9,General_Admission
278007,2012 Basketball Season Tickets,2013 Basketball Season Tickets,1,16-Jul-13,499.2,4,0.54,12,5,17,0,15,2,0,Reserved_Seats
